learner,fraction_targeted,cumulative_uplift
S-Learner,194671.0,1845.6746731038793
S-Learner,195200.0,1855.552025027858
S-Learner,195729.0,1855.0568072854612
S-Learner,196253.0,1849.7670567315577
S-Learner,196779.0,1861.067720186904
S-Learner,197312.0,1870.109634434633
S-Learner,197911.0,1864.602843911691
S-Learner,198427.0,1871.8518773007331
S-Learner,198912.0,1875.823382991264
S-Learner,199434.0,1866.6914133545447
S-Learner,200073.0,1877.0200198778095
S-Learner,200609.0,1885.6234446997885
S-Learner,201135.0,1897.051934707824
S-Learner,201667.0,1904.4057220233003
S-Learner,202223.0,1916.0870923463017
S-Learner,202981.0,1923.910086933241
S-Learner,203504.0,1922.7905816844593
S-Learner,204059.0,1919.762139664148
S-Learner,204614.0,1924.5399384662803
S-Learner,205122.0,1925.2465853837325
S-Learner,205621.0,1928.7228028358984
S-Learner,206246.0,1933.9054818507527
S-Learner,206780.0,1931.7383064572148
S-Learner,207319.0,1938.5739961174163
S-Learner,207839.0,1943.4796999270663
S-Learner,208405.0,1948.7914146746368
S-Learner,208904.0,1952.5157204603197
S-Learner,209519.0,1961.6195086400407
S-Learner,210100.0,1958.7040386000049
S-Learner,210800.0,1957.113694761308
S-Learner,211585.0,1953.455168009907
S-Learner,212114.0,1958.434948336335
S-Learner,212628.0,1963.9579227512004
S-Learner,213148.0,1968.9603789770977
S-Learner,213651.0,1972.1866496432697
S-Learner,214210.0,1977.8828644029843
S-Learner,214718.0,1978.7893779139656
S-Learner,215241.0,1982.0100674584112
S-Learner,215771.0,1980.2894792184425
S-Learner,216309.0,1975.014118096783
S-Learner,216964.0,1976.9424954674912
S-Learner,217655.0,1960.3283184325403
S-Learner,218183.0,1965.0845545736956
S-Learner,218736.0,1968.5194007974903
S-Learner,219458.0,1959.5353783701623
S-Learner,219963.0,1968.039921311568
S-Learner,220491.0,1970.9832020211131
S-Learner,221036.0,1963.0819452513529
S-Learner,221600.0,1967.8782055837123
S-Learner,222142.0,1966.386742018656
S-Learner,222662.0,1971.572439444004
S-Learner,223183.0,1974.494808819681
S-Learner,223742.0,1971.3703159075176
S-Learner,224248.0,1974.8773426117275
S-Learner,224863.0,1979.5226416850876
S-Learner,225516.0,1984.8641759530929
S-Learner,226117.0,1982.3137124555135
S-Learner,226651.0,1983.4750788914175
S-Learner,227194.0,1988.378387521241
S-Learner,227831.0,1985.6481048305063
S-Learner,228439.0,1961.8971453799263
S-Learner,228965.0,1957.2266467580632
S-Learner,229562.0,1955.49777606984
S-Learner,230105.0,1958.907613902178
S-Learner,230676.0,1965.9311667856807
S-Learner,231232.0,1969.4873461116936
S-Learner,231837.0,1967.6128823643792
S-Learner,232369.0,1966.7197611335573
S-Learner,232993.0,1967.8566899764855
S-Learner,233542.0,1971.7113730876115
S-Learner,234126.0,1972.457374428673
S-Learner,234746.0,1983.6973502753217
S-Learner,235335.0,1986.6416024163912
S-Learner,236039.0,1969.4148382607352
S-Learner,236603.0,1974.4068060971013
S-Learner,237240.0,1972.7041029035752
S-Learner,237864.0,1979.3803935145245
S-Learner,238415.0,1968.017156595708
S-Learner,238994.0,1968.916177519675
S-Learner,239614.0,1974.718821696958
S-Learner,240153.0,1970.0932369529107
S-Learner,240694.0,1975.0691059872024
S-Learner,241253.0,1979.1578050857904
S-Learner,241822.0,1984.836796442587
S-Learner,242463.0,1990.9809817384653
S-Learner,242997.0,1994.576505215988
S-Learner,243582.0,1999.402772755162
S-Learner,244163.0,2001.3019940746624
S-Learner,244789.0,1997.0579453507344
S-Learner,245380.0,1996.2029322007515
S-Learner,245936.0,2000.437291152268
S-Learner,246515.0,1999.482113837093
S-Learner,247066.0,2004.9509552000052
S-Learner,247643.0,2008.3357666629563
S-Learner,248231.0,2011.2792946700035
S-Learner,248835.0,2012.0462796233835
S-Learner,249447.0,2014.1688620566956
S-Learner,250077.0,2021.4336116060565
S-Learner,250623.0,2026.4243470834924
S-Learner,251176.0,2026.6473047175543
S-Learner,251733.0,2026.5172697006944
S-Learner,252424.0,2020.6666687039287
S-Learner,252976.0,2025.6719053961688
S-Learner,253696.0,2031.9210485912292
S-Learner,254310.0,2038.3909580590216
S-Learner,254888.0,2046.7361168551367
S-Learner,255562.0,2055.8346894225574
S-Learner,256122.0,2057.9028431001875
S-Learner,256722.0,2061.974303698365
S-Learner,257445.0,2057.522459089635
S-Learner,258035.0,2062.8128922937285
S-Learner,258734.0,2051.9421002634963
S-Learner,259279.0,2050.6084623704987
S-Learner,259868.0,2045.1046285273535
S-Learner,260843.0,2048.3133949196526
S-Learner,261481.0,2052.22311347465
S-Learner,262112.0,2048.7985218120543
S-Learner,262771.0,2052.986505908473
S-Learner,263476.0,2051.3414387278567
S-Learner,264066.0,2051.8331184638687
S-Learner,264676.0,2055.967376460533
S-Learner,265295.0,2062.258724051089
