strategy,fraction_targeted,cumulative_uplift
X-learner CATE,929241.0,2926.8092426254384
X-learner CATE,931957.0,2928.486929762792
X-learner CATE,934681.0,2931.0753499565
X-learner CATE,937404.0,2933.5529721744206
X-learner CATE,940125.0,2937.156309251869
X-learner CATE,942841.0,2933.9169293919495
X-learner CATE,945571.0,2936.050786036534
X-learner CATE,948301.0,2935.355046206348
X-learner CATE,951033.0,2937.8269483132417
X-learner CATE,953751.0,2939.971578075555
X-learner CATE,956473.0,2934.868664866037
X-learner CATE,959195.0,2935.4698381250564
X-learner CATE,961921.0,2938.49949863636
X-learner CATE,964639.0,2937.4385763145156
X-learner CATE,967355.0,2937.9261695255404
X-learner CATE,970077.0,2937.4828745038894
X-learner CATE,972800.0,2939.824671434848
X-learner CATE,975523.0,2941.2312386473714
X-learner CATE,978240.0,2944.287451792862
X-learner CATE,980956.0,2947.0483231647336
X-learner CATE,983672.0,2949.519595351739
X-learner CATE,986394.0,2954.955190770337
X-learner CATE,989115.0,2955.1843441249225
X-learner CATE,991830.0,2956.8948623058186
X-learner CATE,994557.0,2961.023192902461
X-learner CATE,997282.0,2961.304212166126
X-learner CATE,1000009.0,2962.5686202745264
X-learner CATE,1002727.0,2962.98756657685
X-learner CATE,1005443.0,2965.0259897788483
X-learner CATE,1008157.0,2965.227858478063
X-learner CATE,1010873.0,2965.461805803639
X-learner CATE,1013589.0,2966.5385171215194
X-learner CATE,1016304.0,2966.0731022946743
X-learner CATE,1019019.0,2968.9747526380747
X-learner CATE,1021743.0,2970.270743454606
X-learner CATE,1024467.0,2973.1562784550188
X-learner CATE,1027187.0,2973.443058081697
X-learner CATE,1029908.0,2974.2485440113896
X-learner CATE,1032627.0,2976.0356908952426
X-learner CATE,1035345.0,2979.523574015849
X-learner CATE,1038064.0,2980.538266192597
X-learner CATE,1040784.0,2981.0846533116564
X-learner CATE,1043507.0,2980.698238366342
X-learner CATE,1046233.0,2980.7928674985665
